artist_name,track_name,release_date,genre,lyrics
Wafia,Heartburn,2015,soul,"Well, I guess what hurt me most of all You were playing with my heart Tell me, why am I emotional When I knew it from the start? [Chorus] And tell me, why does my heart burn when I see your face? You have made your decision, put me in my place And the lies you've been hiding, taking up your space Tell me, why does my heart burn this way When I see your face? When I see your face? [Verse 2] All this time you left me wanting more Had me swallowing all of my pride Wonder where this part of you came from It was hidden in the shallow of your eyes [Chorus] And tell me, why does my heart burn when I see your face? You have made your decision, put me in my place And the lies you've been hiding, taking up your space Tell me, why does my heart burn this way When I see your face? When I see your face? [Bridge] Lover, why you been hiding From the places we've been? From the places we've been? Lover, why you been hiding From the places we've been? From the places we've been? Lover, why you been hiding From the places we've been? From the places we've been? Lover, why you been hiding From the places we've been? From the places we've been? [Chorus] And tell me, why does my heart burn when I see your face? You have made your decision, put me in my place And the lies you've been hiding, taking up your space Tell me, why does my heart burn this way When I see your face? [Outro] يحرق قلبي يحرق قلبي يحرق قلبي [Written by Wafia & Ben Abraham] [Produced by Ta-ku, Wafia, Andrei Eremin & Eric J Dubowsky]"
Sade,No Ordinary Love,1992,soul,"The song peaked at #14 on the U.K. Singles chart, #28 on the Billboard Hot 100, #14 on Billboard’s Adult Contemporary… Read More [Verse 1] I gave you all the love I got I gave you more than I could give Gave you love I gave you all that I have inside And you took my love You took my love [Pre-Chorus] Didn't I tell you What I believe? Did somebody say that A love like that won't last? Didn't I give you All that I've got to give, baby? [Verse 2] I gave you all the love I got I gave you more than I could give Gave you love I gave you all that I have inside And you took my love You took my love [Refrain] I keep crying (Keep crying) I keep trying for you There's nothing like you and I, baby [Chorus] This is no ordinary love No ordinary love This is no ordinary love No ordinary love [Verse 3] When you came my way (Came my way) You brightened every day With your sweet smile [Pre-Chorus] Didn't I tell you What I believe? Did somebody say that A love like that won't last? Didn't I give you All that I've got to give, baby? [Chorus] This is no ordinary love No ordinary love This is no ordinary love No ordinary love [Instrumental Break] [Refrain] I keep crying (Keep crying) I keep trying for you There's nothing like you and I baby [Chorus] This is no ordinary love No ordinary love This is no ordinary love No ordinary love [Instrumental Break] [Outro] Keep trying for you Keep crying for you Keep lying for you Keep flying, I'm falling And I'm falling Keep trying for you Keep crying for you Keep lying for you Keep flying, I'm falling And I'm falling"
SAULT,Why Why Why Why Why,2019,soul,"I know you think about it, how my body makes you feel (No, don't stop, don't, don't stop) And we can fool about, but I don't wanna have to steal (No, don't stop, don't, don't stop) [Chorus] I understand you're not mine Babe, why, why, why, why, why? Even when you're with me You lie, lie, lie, lie, lie And I know it will never change But I still can't say goodbye [Verse 2] Old habits, you're one of them (You are my weakness) Take my heed, this has to end (You are my weakness) I thought you would take me away (I thought that you could) So now I have to start again (You understand) [Chorus] I understand you're not mine Babe, why, why, why, why, why? Even when you're with me You lie, lie, lie, lie, lie And I know it will never change But I still can't say goodbye [Post-Chorus] (No, don't stop, don't stop how you feel) (No, don't stop, don't stop how you feel) [Bridge] (It's so hard to, no, don't stop) Can't change where we been (It's so hard to, no, don't stop) It was coming from (It's so hard to, no, don't stop) It was very real (It's so hard to, no, don't stop) Feel so stupid (It's so hard to, no, don't stop) Can't change where we been (It's so hard to, no, don't stop) It was coming from (It's so hard to, no, don't stop) It was very real (It's so hard to, no, don't stop) Feel so stupid (Stop) [Chorus] I understand you're not mine Babe, why, why, why, why, why? Even when you're with me You lie, lie, lie, lie, lie And I know it will never change But I still can't say goodbye"
Gladys Knight & The Pips,Midnight Train to Georgia,1973,soul,"The song became a… Read More [Verse 1] Mm, L.A. proved too much for the man Too much for the man, he couldn't make it So he's leavin' the life, mm He's come to know, ooh, he said he's goin' He said he's goin' back to find, goin' back to find Ooh, ooh, ooh, what's left of his world The world he left behind Not so long ago [Chorus] He's leavin', leavin', on that midnight train to Georgia Leavin' on that midnight train, mm, yes Said he's goin' back, goin' back to find To a simpler place and time, whenever he takes that ride Oh, yes, he is, guess who's gonna be right by his side And I'll be with him, I know you will, on that midnight train to Georgia Leavin' on that midnight train to Georgia, woo, woo (Yeah) I'd rather live in his world, live in his world Than live without him in mine, her world is his, his and hers alone [Verse 2] He kept dreamin', dreamin', ooh That someday he'd be a star, a superstar, but he didn't get far But he sure found out the hard way that dreams don't always come true Dreams don't always come true, oh, no, uh-uh, uh-uh, no, uh-uh So he pawned all his hopes, ooh, ooh, ooh, ooh And he even sold his old car, ooh, ooh, ooh, ooh Bought a one-way ticket back to the life he once knew Oh, yes, he did, he said he would [Chorus] Oh, no, he's leavin', leavin', on that midnight train to Georgia Leavin' on that midnight train, hmm, yeah Said he's goin' back to find, goin' back to find Ooh, a simpler place and time, whenever he takes that ride Oh, yeah, guess who's gonna be right by his side I'm gonna be with him, I know you will, on that midnight train to Georgia Leavin' on the midnight train to Georgia, woo, woo (Oh) I'd rather live in his world, live in his world Than live without him in mine, her world is his, his and hers alone Ooh, he's leavin', leavin', on the midnight train to Georgia Leavin' on the midnight train, yeah, ooh, y'all Said he's goin' back to find, goin' back to find Ooh, a simpler place and time, whenever he takes that ride Ooh, y'all, uh-huh, guess who's gonna be right by his side I've got to be with him, I know you will, on that midnight train to Georgia Leavin' on the midnight train to Georgia, woo, woo (Yeah) I'd rather live in his world, live in his world Than live without him in mine, her world is his, his and hers alone [Outro] Oh, for love, for love, gonna board Gonna board the midnight train to ride For love, for love, gonna board, gonna board Gotta board the midnight train to go For love, for love, gonna board, gonna board Uh-huh, the midnight train to go My world for love, his world, gonna board Our world, mine and his alone (The midnight train to go) My world for love, his world, gonna board Our world, mine and his alone, the midnight train to go I've got to go, for love, I've got to go, gonna board I've got to go, hey, the midnight train to go I've got to go, for love, I've got to go, gonna board Mm, the midnight train to go My world, for love, his world, gonna board My man, his girl, the midnight train to go I've got to go, for love, I've got to go, gonna board Oh, I've got to go, the midnight train to go My world, for love, his world, gonna board Our world, his girl…"
Sade,Your Love Is King,1984,soul,"Your love is king, crown you in my heart Your love is king, never need to part Your kisses ring, round and round and round my head Touching the very part of me, it's making my soul sing Tearing the very heart of me, I'm crying out for more [Chorus 2] Your love is king, crown you in my heart Your love is king, you're the ruler of my heart Your kisses ring, round and round and round my head Touching the very part of me, it's making my soul sing I'm crying out for more, your love is king [Verse 1] I'm coming on I'm coming You're making me dance Inside [Chorus 1] Your love is king, crown you in my heart Your love is king, never need to part Your kisses ring, round and round and round my head Touching the very part of me, it's making my soul sing Tearing the very heart of me, I'm crying out for more [Post-Chorus] Touching the very part of me, it's making my soul sing I'm crying out for more, your love is king [Verse 2] This is no blind faith This is no sad and sorry dream This is no blind faith Your love, your love is real [Chorus 3] Gotta crown me with your heart (Your love is king) Never, never need to part (Your love is king) Touch me (Your love is king) I'm coming (Your love is king) It's making me dance (Your love is king) Never letting go (Your love is king) Never letting go of your love (Your love is king) Never gonna give it up (Your love is king) [Outro] I'm coming (Your love is king) It's making me dance"
Marvin Gaye,Let's Get It On,1973,soul,"I've been really trying, baby Trying to hold back this feeling for so long And if you feel like I feel, baby Then come on, oh, come on, ooh [Chorus] Let's get it on, ow, baby Let's get it on, let's love, baby Let's get it on, sugar Let's get it on, woo [Verse 2] We're all sensitive people with so much to give Understand me, sugar Since we got to be here, let's live, I love you There's nothing wrong with me loving you, baby, no, no And giving yourself to me can never be wrong If the love is true, oh, baby, ooh [Bridge] Now don't you know how sweet and wonderful life can be? Ooh, ooh I'm asking you, baby, to get it on with me, ooh, ooh, ooh I ain't gonna worry, I ain't gonna push, I won't push you, baby So come on, come on, come on, come on, come on, baby Stop beating 'round the bush, hey [Verse 3] Let's get it on, ooh, ooh, let's get it on You know what I'm talkin' 'bout Come on, baby, hey, let your love come out If you believe in love Let's get it on, ooh, let's get it on, baby This minute, oh yeah, let's get it on Please, let's get it on, hey, hey [Bridge] I know you know what I been dreamin' of, don't you, baby? My whole body wants that feelin' of love, oh, help me, woo I ain't gonna worry, no, I ain't gonna push I won't push you, baby, woo Come on, come on, come on, come on, darling Stop beatin' 'round the bush [Refrain] Oh, gonna get it on, threatenin' you, baby I wanna get it on You don't have to worry that it's wrong If the spirit moves you Let me groove you good Let your love come down Oh, get it on, come on, baby Do you know the meaning of being sanctified? Hey, hey Girl, you give me good feeling, so good, somethin' like sanctified Oh, do right, baby Nothing wrong with love If you want to love me, just let yourself go Oh baby, let's get it on right now"
Adele,Hometown Glory,2008,soul,"I've been walking in the same way as I did Missing out the cracks in the pavement And tutting my heel and strutting my feet ""Is there anything I can do for you, dear?"" ""Is there anyone I could call?"" ""No and thank you, please madame I ain't lost, just wandering"" [Chorus] Round my hometown Memories are fresh Round my hometown Ooh, the people I've met Are the wonders of my world Are the wonders of my world Are the wonders of this world Are the wonders now [Verse 2] I like it in the city When the air is so thick and opaque I love it to see everybody in short skirts, shorts and shades I like it in the city when two worlds collide You get the people and the government Everybody taking different sides [Refrain] Shows that we ain't gonna stand shit Shows that we are united Shows that we ain't gonna take it Shows that we ain't gonna stand shit Shows that we are united [Chorus] Round my hometown Memories are fresh Round my hometown Ooh, the people I've met, yeah [Outro] Doo-da-da-da-da-da-da-da-dah, yeah Doo-da-da-da-da-da-da-da-dah, yeah Doo-doo-doo-doo ooh-ooh yeah Yeah, yeah-ey Are the wonders of my world Are the wonders of my world Are the wonders of this world Are the wonders of my world Of my world Yeah, of my world Of my world, yeah"
Jungle,Casio,2018,soul,"Casio is about a couple who are in to each other but are not seeing… Read More [Verse 1] Casio, playing on my heart just like a Casio Breaking it apart so you can let it go Wait another year, that's not original Or cynical, alright, let's go now [Chorus] When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over [Verse 2] Play it cool, I just want the keys back to my vehicle They're just gonna tell you that it wasn't real And I just wanna tell you this is how I feel I know you feel, I know you feel it too [Chorus] When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over [Verse 3] Casio, playing on my heart just like a Casio Breaking it apart so you can let it go Wait another year, that's not original Or cynical, alright, let's go now [Chorus] When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over [Bridge] Don't think that my love is gone It's all up in your head now Don't think that my love is gone It's all up in your head now (Alright, let's go now) Don't think that my love is gone It's all up in your head now (Alright, let's go now) Don't think that my love is gone (Casio) It's all up in your head now (Alright, let's go now) [Chorus] When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over When all your dreams are gone And you're still holding on You waited far too long Don't say I know, you know it's over [Outro] Don't think that my love is gone It's all up in your head now Don't think that my love is gone It's all up in your head now Don't think that my love is gone It's all up in your head now Don't think that my love is gone It's all up in your head now"
Chaka Khan,I'm Every Woman,1978,soul,"The track was composed by the… Read More [Chorus] I'm every woman, it's all in me Anything you want done, baby, I'll do it naturally (Mh-mh-mh) I'm every woman, it's all in me I can read your thoughts right now, every one from A to Z Whoah whoah whoah (Whoah whoah) Whoah whoah whoah [Verse 1] I can cast a spell With secrets you can't tell Mix a special brew Put fire inside of you But anytime you feel danger or fear Instantly I will appear 'Cause... [Chorus] I'm every woman, it's all in me Anything you want done, baby, I'll do it naturally Whoah whoah whoah Whoah whoah whoah [Verse 2] I can sense your needs Like rain on to the seeds I can make a rhyme Of confusion in your mind And when it comes down to some good old fashioned love That's what I've got plenty of 'Cause... [Chorus] I'm every woman, it's all in me Anything you want done, baby, I'll do it naturally I'm every woman, it's all in me I can read your thoughts right now, every one from A to Z Whoah whoah whoah (Whoah whoah) Whoah whoah whoah [Bridge] I ain't braggin' cause I'm the one You just ask me, uh, and it shall be done And don't bother to compare 'Cause I've got it (I've got it) Whoah whoah whoah (Whoah whoah) Whoah whoah whoah Aah, aah, aah, aah [Outro] I'm every woman, I'm every woman (Tell 'em all about it, child) I'm every woman, I'm every woman (Wanna really tell 'em all... about it) I'm every woman, I'm every woman (Want 'em to know, want 'em to know that...) I'm every woman, I'm every woman I'm every woman, I'm every woman I'm every woman, I'm every woman I'm every woman, I'm every woman I'm every woman, I'm every woman I'm every woman, I'm every woman I'm every woman, I'm every woman"
Solomon Burke,Cry to Me,1964,soul,"It was also famously covered by… Read More [Verse 1] When your baby leaves you all alone And nobody calls you on the phone Don't you feel like crying? Don't you feel like crying? Well, here I am, my honey C'mon, you cry to me [Verse 2] When you're all alone in your lonely room And there's nothing but the smell of her perfume Don't you feel like crying? Don't you feel like crying? Don't you feel like crying? C'mon, c'mon, cry to me [Bridge] Whoa, nothing can be sadder than a glass of wine alone Loneliness, loneliness, such a waste of time, oh oh yes You don't ever have to walk alone, you see Come on take my hand, and baby, won't you walk with me? Whoa yeah [Verse 3] When you're waiting for a voice to come In the night but there's no one Don't you feel like crying? (Cry to me) Don't you feel like crying? (Cry to me) Don't you feel like cr-cr-cr-cr-cr-cr-cry (Cry to me) cr-cr-cr-cr-cr-cr-crying? (Cry to me) Don't you feel like cr-cr-cr-cr-cr-cr-cry (Cry to me) cr-cr-cr-cr-cr-cr-crying?"
Vaundy,風神,2024,soul,誰よりも 「救いたい」と悲劇を気取ってた 面倒よりも それが砕いても、煮込んでも 食べれない故に 大脳の意思では 静観がキメの一手なんだって だが、心臓が言うには 芽吹けば栄養さ この先も誰かを想うたび 風纏い擦り傷が絶えないだろう だがやがてこの風、受けるたびに その、変え難い ぬくい痛みに 報われていたい はず ジリジリ 頬つたって痛いよ 芽吹いた ヒラヒラ 喉元つたって 吸い込み 肺が痛いよ でもね トクトク あたたかいね それが大脳の意思では 食わず嫌いがキメの一手だったって また、心臓が言うには 君もそう、風神さ この先も誰かを想うたび 風い擦り傷が絶えないだろう だがやがてこの風、受けるたびに その、変え難い ぬくい痛みに 報われていたい はず もしもこの世の隙間に 愛を少し分けられたなら それでこのぬくもりに 隙間風も 凪ぐだろうか 僕が、誰かを想うたび 風纏い擦り傷が絶えないだろう だがやがてこの風、受けるたびに その、変え難い ぬくい痛みに 拭われて あなたを想うたびに 風纏い擦り傷が絶えないだろう だがやがてこの風、受けるたびに その、変え難い ぬくい痛みに 救われていた はずだから
Parcels,Lightenup,2018,soul,"Time to lighten up? I don't plan to I don't plan to Time I gave enough I don't plan to I don't plan to [Verse 1] Every eye is on us Every side is on us ""Sing it with pride and promise Never cry, never cry But you know we like it honest You know that's why we bought you I like your style and all But do it right, do it in time"" [Chorus] To lighten up? I don't plan to I don't plan to Time I gave enough I don't plan to I don't plan to [Verse 2] I need it, I love it The music, the time it takes For the letter to write back Let it go, let it go 'Cause this is the final product Drink it a while and call us Sell it for dimes and dollars There you go [Chorus] Time to lighten up? I don't plan to I don't plan to Time I gave enough I don't plan to I don't plan to"
James Brown & The Famous Flames,I Got You (I Feel Good),1966,soul,"Brown made this song by reworking “I Found You,” a song he wrote and produced for one of his backup… Read More [Chorus] Wow, I feel good, I knew that I would now I feel good, I knew that I would now So good, so good, I got you Wow, I feel nice, like sugar and spice I feel nice, like sugar and spice So nice, so nice, I got you [Verse] When I hold you in my arms I know that I can do no wrong And when I hold you in my arms My love won't do you no harm [Chorus] And I feel nice, like sugar and spice I feel nice, like sugar and spice So nice, so nice, I got you [Verse] When I hold you in my arms I know that I can't do no wrong And when I hold you in my arms My love can't do me no harm [Chorus] And I feel nice, like sugar and spice I feel nice, like sugar and spice So nice, so nice, well I got you Wow, I feel good, I knew that I would now I feel good, I knew that I would So good, so good, 'cause I got you So good, so good, 'cause I got you So good, so good, 'cause I got you [Outro] Hey Oh, yeah"
Omoinotake,幾億光年,2024,soul,"One more time, let me hear you I can’t turn the page The calendar is still summer [Verse 2] Smile and tell me, “I’m home” I don’t know where to send These things you left [Pre-Chorus] I hear the sound of my broken heart I realized how much I had loved you The memories won’t increase But I will hold them and live on [Chorus] Day by day How fast should I chase you So that I could meet you again Days next to you, the meaning of living You gave me all So I still think about you in my heart Can you still hеar my voice? Non-stopping days, the journey to you Wеar that usual beautiful smile and wait for me [Post-Chorus] The words deep inside that I couldn’t tell you I think I can give them straight to you now [Verse 3] Distance that could be reached if I whispered to you Zero centimeters on my fingertips I thought I had reached you [Verse 4] Why is it that the farther we are More words will pour out You can laugh at me, why now? [Pre-Chorus] The shooting star that you only saw What kind of wish did you have? Staring at where you were looking that day Ahead of that indigo sky [Chorus] Day by day Over the distance of billion years Like the star that sends its light Unchanging love, a sound light I will continue until it reaches you So if we can encounter again someday Let’s meet in the shining light Making sure that you won’t get lost I won’t blink, waiting with the light [Post-Chorus] The warmth you gave me, it won’t disappear Holding on I’m living now [Bridge] I’ll call your name, day after day I’ll keep screaming, to stay the way we were then [Breakdown] Day by day How fast should I chase you So that I could meet you again Sharing days, the season abruptly Took you away, far and beyond [Chorus] So I still think about you in my heart Can you still hear my voice? Days starting to move, each time I open my eyes Believing that destiny will bring us closer [Post-Chorus] The words deep inside that I couldn’t tell you I think I can give them straight to you now [Outro] No matter how much time goes by, forever “I Love You” won’t become past tense"
"Grover Washington, Jr.",Just the Two of Us,1980,soul,"I see the crystal raindrops fall And the beauty of it all Is when the sun comes shining through To make those rainbows in my mind When I think of you sometime And I wanna spend some time with you [Chorus: Bill Withers with Hilda Harris, Ullanda McCullough & Yvonne Lewis] Just the two of us We can make it if we try Just the two of us Just the two of us Just the two of us Building castles in the sky Just the two of us You and I [Verse 2: Bill Withers] We look for love, no time for tears Wasted water's all that is And it don't make no flowers grow Good things might come to those who wait Not for those who wait too late We gotta go for all we know [Chorus: Bill Withers with Hilda Harris, Ullanda McCullough & Yvonne Lewis] Just the two of us We can make it if we try Just the two of us Just the two of us Just the two of us Building them castles in the sky Just the two of us You and I [Saxophone Solo: Grover Washington, Jr.] [Bridge: Hilda Harris & Ullanda McCullough & Yvonne Lewis] Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us [Saxophone Solo: Grover Washington, Jr.] [Verse 3: Bill Withers] I hear the crystal raindrops fall On the window down the hall And it becomes the morning dew And, darling, when the morning comes And I see the morning sun I wanna be the one with you [Chorus: Bill Withers & Hilda Harris, Ullanda McCullough & Yvonne Lewis] Just the two of us We can make it if we try Just the two of us Just the two of us Just the two of us Building big castles way on high Just the two of us You and I [Outro: Bill Withers & Hilda Harris, Ullanda McCullough & Yvonne Lewis] (Just the two of us) Yes! The two of us We can make it just the two of us Let's get it together, baby! Just the two of us Yes! The two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us We can make it just the two of us Just the two of us"
Stevie Wonder,Higher Ground,1973,soul,"People keep on learning Soldiers keep on warring World keep on turning 'Cause it won't be too long [Verse 2] Powers keep on lying While your people keep on dying World keep on turning 'Cause it won't be too long [Chorus] I'm so darn glad He let me try it again 'Cause my last time on Earth, I lived a whole world of sin I'm so glad that I know more than I knew then Going to keep on trying 'Til I reach my highest ground [Verse 3] Teachers keep on teaching Preachers keep on preaching World keep on turning 'Cause it won't be too long Oh, no [Verse 4] Lovers keep on loving Believers keep on believing Sleepers, just stop sleeping 'Cause it won't be too long Oh, no [Chorus] I'm so glad that He let me try it again 'Cause my last time on Earth, I lived a whole world of sin I'm so glad that I know more than I knew then Going to keep on trying 'Til I reach my highest ground Woo [Outro] 'Til I reach my highest ground No one's gonna bring me down Oh, no 'Til I reach my highest ground Don't you let nobody bring you down (They'll sho' 'nuff try) God is gonna show you highest ground He's the only friend you'll have around 'Cause the rest of the world will bring you down"
Thee Sacred Souls,Love Is The Way,2022,soul,"Love is a way of being, baby Love is the way, ah, ah Love is a way of being, baby Love is the way, ah, ah-ah, ah [Verse 1: Josh Lane] When I was ten, I thought love was holding hands Couples on the swing, that's what made it last I hit sixteen, thought it was kissing underneath the tree And saying, ""Baby, you go with me"" (Baby, you go with me) [Refrain: Josh Lane] But love has no limits and it has no name It's every hour and it's day by day Love has no gender and it has no creed Love is, love is a way of being [Chorus: Josh Lane] Love is a way of being, baby (Love is a way) Love is the way, ah, ah (Don't you ever forget) Love is a way of being, baby (Love is a way) Love is the way, ah, ah-ah, ah (Don't you ever forget) [Bridge: Josh Lane] Call my name, call my name If you want me (Call my name) Call my name, call my name If you need me (If you need me) I promise I'll be there (Tell me, do you need me?) I promise I'll be there [Refrain: Josh Lane] 'Cause love has no limits and it has no name It's every hour and it's day by day Love has no limits and it has no creed Love is, love is a way of being [Chorus: Josh Lane] Love is a way of being, baby (Love is a way) Love is the way, ah, ah (Don't you ever forget) Love is a way of being, baby (Love is a way) Love is the way, ah, ah-ah, ah (Ah) Ooh, love is the way, darling (Run away now, oh) Yes, love is the way now sugar (Run away now, oh) Love, love (Run away now, oh)"
Black Pumas,Colors,2019,soul,"With an inventive, almost psychedelic… Read More [Verse 1: Eric Burton] I woke up to the morning sky first Baby blue, just like we rehearsed When I get up off this ground, I shake leaves back down To the brown, brown, brown, brown 'til I’m clean Then I walked where I'd be shaded by the trees By a meadow of green For about a mile I'm headed to town, town, town in style [Chorus: Eric Burton with The Soul Supporters] With all my favorite colors, yes, sir All my favorite colors, right on My sisters and my brothers see ’em like no other All my favorite colors [Post-Chorus: Eric Burton with The Soul Supporters] It's a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors [Verse 2: Eric Burton] Now take me to the other side Little bitty blues birds fly In gray clouds, or white walls, or blue skies We gon' fly, feel alright And we gon', ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah They sound like ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah And the least I can say, I anticipate A homecome parade as we renegade in the morning, right on [Chorus: Eric Burton with The Soul Supporters] With all my favorite colors, yes, sir All my favorite colors, yes, ma'am My sisters and my brothers see 'em like no other All my favorite colors Ha, oh [Instrumental Break] Closer, ooh Love machine [Chorus: Eric Burton with The Soul Supporters] All my favorite colors, right All my favorite colors, yes, ma'am My sisters and my brothers see ’em like no other All my favorite colors [Post-Chorus: Eric Burton with The Soul Supporters] It’s a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors"
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1968,soul,"It became one of her signature songs as it reached #8 on the Billboard Hot 100. After her… Read More [Verse 1] Looking out on the morning rain I used to feel so uninspired And when I knew I had to face another day Lord, it made me feel so tired [Pre-Chorus] Before the day I met you, life was so unkind But you're the key to my peace of mind [Chorus] 'Cause you make me feel, you make me feel You make me feel like a natural woman (Woman) [Verse 2] When my soul was in the lost and found You came along to claim it I didn't know just what was wrong with me 'Til your kiss helped me name it [Pre-Chorus] Now I'm no longer doubtful of what I'm living for And if I make you happy, I don't need to do more [Chorus] 'Cause you make me feel, you make me feel You make me feel like a natural woman (Woman) [Bridge] Oh, baby, what you've done to me? (What you've done to me?) You made me feel so good inside (Good inside) And I just wanna be (Wanna be) Close to you, you make me feel so alive [Chorus] You make me feel, you make me feel You make me feel like a natural woman (Woman) You make me feel, you make me feel You make me feel like a natural woman (Woman) [Outro] You make me feel, you make me feel You make me feel like a natural woman"
Vaundy,タイムパラドックス,2024,soul,[Verse 1] あのね 君と出会ったことを今でも ずっと覚えているけど でもね それは ずっと先の未来の話を 横で見てるみたいなの もしも 君の願いひとつ叶うとする 未来変えるとする [Chorus] いや あのね 僕のポケットの未来を覗いて きっと笑ってくれるから これは いつか この先出会うあなたの 痛みひとつ拭う魔法 [Verse 2] 僕らの抱えてる魔法には いつもひとつ小さな秘密があって どうしても1人じゃ使えないのさ だから 聞いて [Chorus] ねぇ あのね 君のポケットの未来を覗いて きっと笑ってくれるから これはいつかこの先出会うあなたの 痛みひとつ拭う魔法 [Post-Chorus] ねぇ ほら 閉まっておきなよ [Bridge] どうしても 拭えない痛みが 君を襲いかかる時が来るさ そんな時は君のその魔法の力を 唱えてみて [Chorus] ねぇ あのね 僕のポケットの未来の君はね いつも 笑っているんだよ だから 君のポケットの未来の僕もね 笑っててほしいから [Outro] ねぇ 笑っててほしいから ねぇ 笑っててくれよ
Marvin Gaye,Got To Give It Up - Pt. 1,1983,soul,"'Cause I was too nervous, to really get down But my body yearned to be free I got up on the floor, somebody could choose me No more standin' there beside the walls Finally got myself together, baby, and I'm havin' a ball Long as you're groovin', there's always a chance Somebody watchin' might wanna make romance Move your body, ooh baby, you dance all night To the groove and feel alright Everybody's groovin' on like a fool But if you see me, spread out and let me in Baby, just party high and low Let me step into your erotic zone Move it up, turn it 'round Ooo, shake it down Oww, you can love me when you want to, babe This is such a groovy party, baby We're here face to face, everybody's swingin' This is such a groovy place All the young ladies are so fine You're movin' your body easy with no doubts I know what you thinkin', baby, you want to turn me out I think I'm gonna let you do it, babe Keep on dancin' Got to give it up Keep on dancin' Got to give it up Keep on dancin' Got to give it up Keep on dancin' Got to give it up Keep on dancin' Got to give it up..."
Emmit Fenn,The Chase,2022,soul,And you try to chase it When you're feeling warm And you're feeling weightless And you want to lie But you don't want to fake it It's getting cold now Maybe it's fate 'Cause we feel alive And we should try to chase it And you're all alone And it's getting late And we need to go You're my story Every night You're my story Every night When you feel alive Baby don't go You know I'll try To bring you back home When you feel alive Baby don't go You know I'll try To bring you back home When you come alive And you try to chase it When you come alive And you try to chase it When you're feeling warm And you're feeling weightless And you want to lie But you don't want to fake it It's getting cold now Maybe it's fate 'Cause we feel alive And we should try to chase it And you're all alone And it's getting late And we need to go You're my story Every night You're my story Every night When you feel alive Baby don't go You know I'll try To bring you back home When you feel alive Baby don't go You know I'll try To bring you back home When you come alive And you try to chase it
Michael Kiwanuka,Love & Hate,2016,soul,"Standing now Calling all the people here to see the show Calling for my demons now to let me go I need something, give me something wonderful [Refrain] I believe She won't take me somewhere I'm not supposed to be You can't steal the things that god has given me No more pain and no more shame and misery [Chorus] You can't take me down You can't break me down You can't take me down You can't take me down You can't break me down You can't take me down [Verse 2] Love and hate How much more are we supposed to tolerate Can't you see there's more to me than my mistakes Sometimes I get this feeling, makes me hesitate [Refrain] I believe She won't take me somewhere I'm not supposed to be You can't steal the things that God has given me No more pain and no more shame and misery [Chorus] You can't take me down You can't break me down You can't take me down You can't break me down You can't take me down You can't break me down [Bridge] I can see a place of trouble And I'm on the verge For the love of everybody I need something more Now I feel some days of trouble I'm in the house of war For the love of everybody Look behind the wall [Outro] Standing now Calling all the people here to see the show Calling all my demons now to let me go I need something, give me something wonderful"
Vaundy,花占い,2023,soul,[コーラス] 街の夕焼けに溶けた 僕たちはまだニ人だろうか 風が吹く僕たちを乗せて ニ人でちぎった花に願いを込めて [ヴァース 1] 願うなら 僕たちを 出会うよりもずっと遠くに 叶うなら 僕たちの 運命さえももっと遠くに [リフレイン] なんて笑って吐いて捨てては 君を思い出す そんな思いを 抱いて抱えて悶えた先には いつも君がいる そんな事より [プレコーラス] 恋路の果てには何がある くだらない話をニ人でしよう [コーラス] 僕達の千年の恋は 深い土で折れる花のようだ 僕達は千年後もまだ 同じ様にまってんだ 笑っちゃうよね (おう、おう、おう) [ヴァース 2] 貴方と以外もう何処にも行けない 雨の中で (そう) 混じりあわない 日々の中で 二人は立っている 永劫 [リフレイン] なんて笑って吐いて捨てては 君を思い出す そんな思いを 抱いて抱えて悶えた先には いつも君がいる そんな事より [プレコーラス] 願いは君との先にある 他愛ない話を二人でしよう [コーラス] 僕達の千年の恋は 深い土で折れる花のようだ 僕達は千年後もまだ 同じ様に待ってんだ 笑っちゃうよね [ブリッジ] 何年経っても妄想が 根を張ってもこんなに 溢れ出している 願いは 花が散るほど 溢れ出していく 花占う恋歌 [コーラス] 僕達の千年の恋は 深い土で咲く花のように 僕達は千年後もまだ 同じ様にちぎってまた笑っていたいよね [アウトロ] 何年経っても妄想が 根を張ってもこんなに 溢れ出している 願えば 何年経っても妄想が 根を張ってもこんなに 溢れ出していく
